source_lang,target_lang,translations
eo,bn,1
ban,ml,1
es,awa,1
tn,as,1
es,ks,1
mk,bn,1
bn,ast,1
es,sat,1
bn,mn,1
af,bn,1
bpy,es,1
ha,mr,1
mr,gl,1
ms,si,1
hi,be,1
hi,mg,1
ks,ckb,1
sd,gu,1
pa,en-simple,1
ban,ne,1
si,ja,1
ig,sat,1
be-tarask,bn,1
pt,as,1
bn,bh,1
gu,ks,1
br,bn,1
ja,pa,1
mt,ur,1
hi,ms,1
nb,hi,1
ne,gl,1
ta,ty,1
ks,glk,1
az,or,1
th,or,1
eo,new,1
si,sq,1
de,mr,1
bn,bug,1
ml,ca,1
gu,pi,1
pt,mni,1
mr,mi,1
bs,hi,1
uk,ks,1
ar,sa,1
ceb,bn,1
ne,ht,1
tcy,gl,1
tg,bn,1
az,hi,1
hyw,ur,1
sd,simple,1
si,ur,1
simple,dty,1
es,bh,1
pnb,hi,1
ml,eo,1
ms,hi,1
ur,ja,1
hi,el,1
hi,pl,1
nb,te,1
kn,ckb,1
ch,gu,1
ast,sat,1
az,bn,1
pa,simple,1
ps,ne,1
bh,awa,1
bn,el,1
gom,pt,1
ur,ko,1
fa,kn,1
hi,ro,1
ne,pt,1
ckb,te,1
war,bn,1
te,eo,1
az,sd,1
or,eu,1
pa,zu,1
be,new,1
mai,en-simple,1
ps,pa,1
ml,id,1
bn,shi,1
iu,bn,1
ja,ks,1
ur,mni,1
hi,sco,1
ne,sd,1
kn,mr,1
as,simple,1
ckb,ur,1
te,it,1
or,or,1
gd,ks,1
bh,mai,1
bn,eu,1
gpe,as,1
ml,ko,1
bn,sm,1
ha,bn,1
anp,ha,1
uk,new,1
ca,gu,1
ur,mzn,1
hi,sq,1
ne,vec,1
te,mai,1
sa,si,1
en-simple,te,1
eo,si,1
pl,ta,1
bn,glk,1
ml,pa,1
mni,hi,1
ur,ary,1
fa,ta,1
new,ms,1
kn,zh,1
ast,bn,1
te,ne,1
hu,ur,1
zh,ne,1
mai,nl,1
bn,ab,1
dty,bn,1
es,tcy,1
bn,tr,1
af,pa,1
pt,or,1
hi,ace,1
hi,tn,1
sat,hi,1
lld,pa,1
tl,ur,1
it,as,1
mai,te,1
bn,ang,1
ml,tcy,1
bn,wuu,1
mr,ang,1
ur,cs,1
ca,si,1
hi,uk,1
awa,simple,1
te,ur,1
hy,ta,1
az,ml,1
si,am,1
gl,bn,1
bn,ln,1
ml,zh,1
he,ne,1
ur,ug,1
hi,la,1
ko,ml,1
ru,ta,1
pa,cr,1
tn,bn,1
be,hi,1
simple,mai,1
ps,gu,1
de,sa,1
bn,az,1
it,ur,1
bpy,gu,1
mr,gom,1
an,bn,1
ja,ur,1
ur,zh,1
ary,ta,1
ceb,ur,1
sd,hi,1
si,kaj,1
pi,hi,1
zh,sa,1
fy,hi,1
de,sd,1
bn,bi,1
ur,ha,1
sr,ta,1
ka,ta,1
nl,ks,1
ta,uk,1
az,pa,1
sd,ku,1
pa,hif,1
si,sv,1
bn,ca,1
bn,oc,1
gu,ta,1
pt,mr,1
mr,my,1
pt,sat,1
ur,id,1
ca,ur,1
as,es,1
ckb,sd,1
sd,skr,1
si,zh,1
pnb,ks,1
ps,ml,1
es,or,1
ug,sd,1
mr,pi,1
my,bn,1
ur,ka,1
nb,anp,1
hi,pnb,1
ne,mr,1
ta,dv,1
te,de,1
yue,bn,1
es,bpy,1
mai,da,1
