domain,month,desktop,mobile_web,mobile_app,total
ta.wikipedia.org,2016-11,2018669,2013171,64336,4096176
ta.wikipedia.org,2016-12,1929899,1961476,64576,3955951
ta.wikipedia.org,2017-01,1979441,2402658,73496,4455595
ta.wikipedia.org,2017-02,1711800,2308771,98497,4119068
ta.wikipedia.org,2017-03,1676758,2545463,75727,4297948
ta.wikipedia.org,2017-04,1395216,2253732,60691,3709639
ta.wikipedia.org,2017-05,1567187,2363734,67665,3998586
ta.wikipedia.org,2017-06,1709277,2519113,61043,4289433
ta.wikipedia.org,2017-07,2199928,3370120,73439,5643487
ta.wikipedia.org,2017-08,1865670,3510091,70946,5446707
ta.wikipedia.org,2017-09,1871100,3333035,71817,5275952
ta.wikipedia.org,2017-10,2072099,4032178,80967,6185244
ta.wikipedia.org,2017-11,1855409,3901037,80704,5837150
ta.wikipedia.org,2017-12,1844348,3801012,77993,5723353
ta.wikipedia.org,2018-01,1946853,4720113,87578,6754544
ta.wikipedia.org,2018-02,2483487,4101411,77289,6662187
ta.wikipedia.org,2018-03,1523879,4028574,83852,5636305
ta.wikipedia.org,2018-04,1209493,3153892,77645,4441030
ta.wikipedia.org,2018-05,1292018,3126337,68072,4486427
ta.wikipedia.org,2018-06,1582579,4212016,67220,5861815
ta.wikipedia.org,2018-07,1763353,5347767,86641,7197761
ta.wikipedia.org,2018-08,1731413,6405058,95544,8232015
ta.wikipedia.org,2018-09,1667153,5448835,87536,7203524
ta.wikipedia.org,2018-10,1983817,7316448,85195,9385460
ta.wikipedia.org,2018-11,2059880,5935607,82794,8078281
ta.wikipedia.org,2018-12,1727827,6266427,87101,8081355
ta.wikipedia.org,2019-01,2138437,7389568,88977,9616982
ta.wikipedia.org,2019-02,1851792,6236318,78192,8166302
ta.wikipedia.org,2019-03,1865536,6413152,79020,8357708
ta.wikipedia.org,2019-04,1651856,5556175,74376,7282407
ta.wikipedia.org,2019-05,1604770,5458888,74977,7138635
ta.wikipedia.org,2019-06,1644222,6790996,80523,8515741
ta.wikipedia.org,2019-07,2121140,8433387,87612,10642139
ta.wikipedia.org,2019-08,2260206,9264416,94806,11619428
ta.wikipedia.org,2019-09,1805183,8103048,86259,9994490
ta.wikipedia.org,2019-10,2061147,9720462,87285,11868894
ta.wikipedia.org,2019-11,2035081,10223154,88096,12346331
